q_len,kv_len,n_heads,n_kv_heads,head_dim,batch,latency_us
1024,8192,4,2,256,1,7.74
1024,8192,20,4,128,1,208.22
1024,16384,8,1,64,1,16.54
1024,16384,8,4,256,1,63.07
1024,16384,10,2,128,1,5.92
1024,32768,2,1,256,1,8.67
1024,32768,4,2,256,1,12.77
1024,32768,5,1,128,1,2800.0
1024,32768,8,1,64,1,37.31
1024,32768,10,2,128,1,147.01
1024,32768,16,2,128,1,105.57
1024,32768,32,4,128,1,7.04
1024,32768,64,8,128,1,7.04
2048,2048,4,2,256,1,6.82
2048,2048,5,1,128,1,7.14
2048,2048,8,2,128,1,9.7
4096,4096,4,1,128,1,39.55
4096,4096,8,1,64,1,11.2
4096,4096,16,4,128,1,13.86
4096,4096,16,8,256,1,9.22
4096,4096,20,4,128,1,10.75
4096,4096,32,8,128,1,2180.0
8192,8192,5,1,128,1,15.33
8192,8192,16,2,64,1,13.38
8192,8192,20,4,128,1,6.98
8192,8192,32,4,64,1,200.99
8192,8192,56,8,128,1,16.96
