M,N,K
16,3584,14336
32,3584,14336
64,3584,14336
128,3584,14336
256,3584,14336
512,3584,14336
1024,3584,14336
2048,3584,14336
4096,3584,14336
8192,3584,14336
1,3584,18944
2,3584,18944
4,3584,18944
8,3584,18944
16,3584,18944
32,3584,18944
64,3584,18944
128,3584,18944
256,3584,18944
512,3584,18944
1024,3584,18944
2048,3584,18944
4096,3584,18944
8192,3584,18944
1,4096,2880
2,4096,2880
4,4096,2880
8,4096,2880
16,4096,2880
32,4096,2880
64,4096,2880
128,4096,2880
256,4096,2880
512,4096,2880
1024,4096,2880
2048,4096,2880
4096,4096,2880
8192,4096,2880
1,4096,3584
2,4096,3584
4,4096,3584
8,4096,3584
16,4096,3584
32,4096,3584
64,4096,3584
128,4096,3584
256,4096,3584
512,4096,3584
1024,4096,3584
2048,4096,3584
4096,4096,3584
8192,4096,3584
1,4096,4096
2,4096,4096
4,4096,4096
8,4096,4096
16,4096,4096
32,4096,4096
64,4096,4096
128,4096,4096
256,4096,4096
512,4096,4096
1024,4096,4096
2048,4096,4096
4096,4096,4096
8192,4096,4096
1,4096,12800
2,4096,12800
4,4096,12800
8,4096,12800
16,4096,12800
32,4096,12800
64,4096,12800
128,4096,12800
256,4096,12800
512,4096,12800
1024,4096,12800
2048,4096,12800
4096,4096,12800
8192,4096,12800
1,4096,14336
2,4096,14336
4,4096,14336
8,4096,14336
16,4096,14336
32,4096,14336
64,4096,14336
128,4096,14336
256,4096,14336
512,4096,14336
1024,4096,14336
2048,4096,14336
4096,4096,14336
8192,4096,14336
1,5120,5120
2,5120,5120
4,5120,5120
8,5120,5120
16,5120,5120
32,5120,5120
64,5120,5120
128,5120,5120
256,5120,5120
512,5120,5120
1024,5120,5120
2048,5120,5120
4096,5120,5120
8192,5120,5120
1,5120,27648
2,5120,27648
4,5120,27648
8,5120,27648
16,5120,27648
32,5120,27648
64,5120,27648
128,5120,27648
256,5120,27648
512,5120,27648
1024,5120,27648
2048,5120,27648
4096,5120,27648
8192,5120,27648
1,7168,7168
2,7168,7168
4,7168,7168
8,7168,7168
16,7168,7168
32,7168,7168
64,7168,7168
128,7168,7168
256,7168,7168
512,7168,7168
1024,7168,7168
2048,7168,7168
4096,7168,7168
8192,7168,7168
1,7168,20480
2,7168,20480
4,7168,20480
8,7168,20480
16,7168,20480
32,7168,20480
64,7168,20480
128,7168,20480
256,7168,20480
512,7168,20480
1024,7168,20480
2048,7168,20480
4096,7168,20480
8192,7168,20480
1,8192,8192
2,8192,8192
4,8192,8192
8,8192,8192
16,8192,8192
32,8192,8192
64,8192,8192
128,8192,8192
256,8192,8192
512,8192,8192
1024,8192,8192
2048,8192,8192
4096,8192,8192
8192,8192,8192
1,8192,28672
2,8192,28672
4,8192,28672
8,8192,28672
16,8192,28672
32,8192,28672
64,8192,28672
128,8192,28672
256,8192,28672
512,8192,28672
1024,8192,28672
2048,8192,28672
4096,8192,28672
8192,8192,28672
1,8192,29568
2,8192,29568
4,8192,29568
8,8192,29568
16,8192,29568
32,8192,29568
64,8192,29568
128,8192,29568
256,8192,29568
512,8192,29568
1024,8192,29568
2048,8192,29568
4096,8192,29568
8192,8192,29568
1,12800,4096
2,12800,4096
4,12800,4096
8,12800,4096
16,12800,4096
32,12800,4096
64,12800,4096
128,12800,4096
256,12800,4096
512,12800,4096
1024,12800,4096
2048,12800,4096
4096,12800,4096
8192,12800,4096
1,14336,3584
2,14336,3584
4,14336,3584
8,14336,3584
16,14336,3584
32,14336,3584
64,14336,3584
128,14336,3584
256,14336,3584
512,14336,3584
1024,14336,3584
2048,14336,3584
4096,14336,3584
8192,14336,3584
1,14336,4096
2,14336,4096
4,14336,4096
8,14336,4096
16,14336,4096
32,14336,4096
64,14336,4096
128,14336,4096
256,14336,4096
512,14336,4096
1024,14336,4096
2048,14336,4096
4096,14336,4096
8192,14336,4096
1,18944,3584
2,18944,3584
4,18944,3584
8,18944,3584
16,18944,3584
32,18944,3584
64,18944,3584
128,18944,3584
256,18944,3584
512,18944,3584
1024,18944,3584
2048,18944,3584
4096,18944,3584
8192,18944,3584
1,20480,7168
2,20480,7168
4,20480,7168
8,20480,7168
16,20480,7168
32,20480,7168
64,20480,7168
128,20480,7168
256,20480,7168
512,20480,7168
1024,20480,7168
2048,20480,7168
4096,20480,7168
8192,20480,7168
1,27648,5120
2,27648,5120
4,27648,5120
8,27648,5120
16,27648,5120
32,27648,5120
64,27648,5120
128,27648,5120
256,27648,5120
512,27648,5120
1024,27648,5120
2048,27648,5120
4096,27648,5120
8192,27648,5120
1,28672,8192
2,28672,8192
4,28672,8192
8,28672,8192
16,28672,8192
32,28672,8192
64,28672,8192
128,28672,8192
256,28672,8192
512,28672,8192
1024,28672,8192
2048,28672,8192
4096,28672,8192
8192,28672,8192
1,29568,8192
2,29568,8192
4,29568,8192
8,29568,8192
16,29568,8192
32,29568,8192
64,29568,8192
128,29568,8192
256,29568,8192
512,29568,8192
1024,29568,8192
2048,29568,8192
4096,29568,8192
8192,29568,8192
1,32000,4096
2,32000,4096
4,32000,4096
8,32000,4096
16,32000,4096
32,32000,4096
64,32000,4096
128,32000,4096
256,32000,4096
512,32000,4096
1024,32000,4096
2048,32000,4096
4096,32000,4096
8192,32000,4096
1,49152,4096
2,49152,4096
4,49152,4096
8,49152,4096
16,49152,4096
32,49152,4096
64,49152,4096
128,49152,4096
256,49152,4096
512,49152,4096
1024,49152,4096
2048,49152,4096
4096,49152,4096
8192,49152,4096
1,64000,7168
2,64000,7168
4,64000,7168
8,64000,7168
16,64000,7168
32,64000,7168
64,64000,7168
128,64000,7168
256,64000,7168
512,64000,7168
1024,64000,7168
2048,64000,7168
4096,64000,7168
8192,64000,7168
1,128256,4096
2,128256,4096
4,128256,4096
8,128256,4096
16,128256,4096
32,128256,4096
64,128256,4096
128,128256,4096
256,128256,4096
512,128256,4096
1024,128256,4096
2048,128256,4096
4096,128256,4096
8192,128256,4096
1,128256,8192
2,128256,8192
4,128256,8192
8,128256,8192
16,128256,8192
32,128256,8192
64,128256,8192
128,128256,8192
256,128256,8192
512,128256,8192
1024,128256,8192
2048,128256,8192
4096,128256,8192
8192,128256,8192
1,151936,3584
2,151936,3584
4,151936,3584
8,151936,3584
16,151936,3584
32,151936,3584
64,151936,3584
128,151936,3584
256,151936,3584
512,151936,3584
1024,151936,3584
2048,151936,3584
4096,151936,3584
8192,151936,3584
1,151936,5120
2,151936,5120
4,151936,5120
8,151936,5120
16,151936,5120
32,151936,5120
64,151936,5120
128,151936,5120
256,151936,5120
512,151936,5120
1024,151936,5120
2048,151936,5120
4096,151936,5120
8192,151936,5120
1,152064,8192
2,152064,8192
4,152064,8192
8,152064,8192
16,152064,8192
32,152064,8192
64,152064,8192
128,152064,8192
256,152064,8192
512,152064,8192
1024,152064,8192
2048,152064,8192
4096,152064,8192
8192,152064,8192
1,201088,2880
2,201088,2880
4,201088,2880
8,201088,2880
16,201088,2880
32,201088,2880
64,201088,2880
128,201088,2880
256,201088,2880
512,201088,2880
1024,201088,2880
2048,201088,2880
4096,201088,2880
8192,201088,2880
1,256000,3584
2,256000,3584
4,256000,3584
8,256000,3584
16,256000,3584
32,256000,3584
64,256000,3584
128,256000,3584
256,256000,3584
512,256000,3584
1024,256000,3584
2048,256000,3584
4096,256000,3584
8192,256000,3584
